"2024/02/11 1:43:22 AM PST","","I wake up early on weekends and stop playing the latest hype games to catch your streams. I literally have no better way of expressing how much I look forward to spending time with you.",""
"2024/02/11 7:52:37 PM PST","SleepingSlime","Heya Fuyo! Just wanting to say that I am glad that I was able to find this smol little gremlin that brings joy to everyone, I hope that all of these messages ""including mine"" make you happy, I've always try to catch streams when I can and usually lurk since it's just nice listening to you talk about stuff, and I might speak for the other luckycharms by saying that we love you, you little gremlin ♡","https://imgur.com/N6mKm8c"
"2024/02/11 8:45:47 PM PST","Darkfire6123","ever since i heard one of your asmrs seven mouths ago I lurk in streams now and then and have enjoyed the ride. i love spending time with you Fuyo.",""
"2024/02/11 9:55:16 PM PST","","I heard you're supposed to give people hearts on Valentine's Day, so please take this. Please. Hurry, don't ask questions, just take it.","https://i.imgur.com/rWuD4Ue.png"
"2024/02/12 12:49:25 AM PST","Takolyte Xander","Honestly speaking, I don't what to say. You've done so much in this past year, lots of accomplishments and fun streams have been done. You're really doing great, Fuyo. It's fun watching you grow from that nervous Leprechaun on Day 1 to the less nervous Leprechaun we have now. I'll continue to support you no matter what even if my presence isn't as great and as noticeable as the others. I wish you well this upcoming hearts day.

Happy Valentines Day, Fuyo. May this day of yours be filled with tons of love and laughter. Whether it'd be with your family and friends or with us, your Lucky Charms. We love you lots!","https://imgur.com/a/8o9XkTs"
"2024/02/12 1:41:55 AM PST","kuriimu","I am a normal clover, a shamrock if you will.
But when i see you my stem-rock, and you I'm ready to fill (:




please end me","https://files.catbox.moe/ioxijl.png"
"2024/02/12 2:31:45 AM PST","Robotic658","Hello there Fuyo! Happy Valentines day you silly little green thing. Hope you have a wonderful day with all the lucky charms. Wow this is a nice Cloverfield. Anyways have a great day and get some sleep. <3 :D","https://imgur.com/a/qFXfCHj"
"2024/02/12 10:21:23 AM PST","CloneofShade","Just wanted to say that I'm happy I found you.",""
"2024/02/12 11:13:50 AM PST","Neon","Hi Fuyo my favorite leprechaun and oshi and best streamer in the whole wide world!!!

Looks like it's Valentines day so we get to celebrate by getting all mushy and teary-eyed and telling you how much we love you and your streams.

But all jokes aside, you have such an amazing talent for making any stream fun and entertaining no matter what you do. I have been watching vtubers for years but you were the first who managed to make me want to participate in chat even though I am a total introvert. The community you have created is truly special.",""
"2024/02/12 12:01:00 PM PST","samRye","I'll always treasure these fun, silly, and awesome memories we've made together Fuyo, and I hope we can make many more in the future! Thank you so much for being this wonderful person I can spend so much time with, and if I was able to make you feel at least a little bit more loved by being here, I couldn't be happier about it. For a thousand more Valentines with ya! ~ v ~ ","https://files.catbox.moe/m8pimy.png"
"2024/02/12 12:33:05 PM PST","Zei","ToT",""
"2024/02/12 1:37:44 PM PST","Joseku","
░░░░░░░░░░░░░░░▄▄░░░░░░░░░░░
░░░░░░░░░░░░░░█░░█░░░░░░░░░░
░░░░░░░░░░░░░░█░░█░░░░░░░░░░
░░░░░░░░░░░░░░█░░█░░░░░░░░░░
░░░░░░░░░░░░░░█░░█░░░░░░░░░░
██████▄███▄████░░███▄░░░░░░░
▓▓▓▓▓▓█░░░█░░░█░░█░░░███░░░░
▓▓▓▓▓▓█░░░█░░░█░░█░░░█░░█░░░
▓▓▓▓▓▓█░░░░░░░░░░░░░░█░░█░░░
▓▓▓▓▓▓█░░░░░░░░░░░░░░░░█░░░░
▓▓▓▓▓▓█░░░░░░░░░░░░░░██░░░░░
▓▓▓▓▓▓█████░░░░░░░░░██░░░░░░ ","https://imgur.com/hhfrfE9"
"2024/02/12 2:24:15 PM PST","Endor","To the world's most precious gren thign, Fuyo Cloverfield. Thanks for making my cheeks hurt from smiling too much whenever I watch your streams. Keep being awesome, you silly and adorable lil leprechaun. I hope you find our Valentines gift as sweet as chocolate. <3","https://imgur.com/a/A6dUjtZ"
"2024/02/12 3:24:20 PM PST","","Go Fuyo, Go Fuyo, Go Fuyo go.
Twitter is acting dumb and I wanted you to see some of the art of you I made.","https://x.com/streamcrash1/status/1753143323500466177?s=46&t=KsfGys1_wpRhOul9S615lw
https://x.com/Streamcrash1/status/1755691151191904610?s=20
https://x.com/Streamcrash1/status/1751961285913161845?s=20
https://x.com/Streamcrash1/status/1751728758082470197?s=20"
"2024/02/12 3:50:26 PM PST","Matze","Hey Fuyo,

I hope you have a happy valentines day.
I also hope the Valentines event you planned will/was fun.
But knowing you, it sure will be/was.

I might send a mellow at the time too, but for now let me say:
Thanks for spending time with us on that day. ^^
And even more so thanks for all other times you spend with us too.

Eu amo a Fuyo! ^^","https://cdn.discordapp.com/attachments/1134977163012079656/1206746662262018068/Illustration.png?ex=65dd2168&is=65caac68&hm=c476311e63d3ee7d2ab69e6f00af5d24586aca2c67a4a3e721751e83d294f657&

Or if that link fails, look in the #art-channel in our discord"
"2024/02/12 5:18:02 PM PST","","Lucky Charm ready for Valentine’s Day","https://x.com/streamcrash1/status/1757212228992860544?s=12"
"2024/02/12 7:00:46 PM PST","Sate","My super lovey dovey valentines day card FOR YOU!!!","https://i.imgur.com/XHIzwFe.png"
"2024/02/12 8:37:11 PM PST","MiiMoo","following the rainbow that lead to you was one of the greatest things to happen to me! I hope your Valentines is full of yummy treats and plenty of happiness! here's my gift to you (full of edible paper money):","https://files.catbox.moe/99heu9.png"
"2024/02/12 10:24:51 PM PST","GerardoS23","Hi Fuyo, hope you're having a nice day.
I just want to say: Thank you!
Thank you for all the streams, thank you for all the laughs, thank you for all the moments you share with us, thank you for inspiring us to be our very best, thank you so much for everything.
Never forget that you are the sunshine that brigthnes our days, keep being awesome green thing. <3",""
"2024/02/12 11:10:49 PM PST","Koudelka","Happy Valentines Day Fuyo! Your such an amazing leprechaun, I can think of no other leprechaun who puts in as much effort to make her cult following of living Clovers happy. You really are special, and you make everyone feel the same. Thank you for being so uniquely you, it's easy to love you and everything you do. ","https://imgur.com/a/jR05aUS"
"2024/02/12 11:37:24 PM PST","Alca","░M░Y░ ░S░T░E░ M░ ░I░N░ ░B░I░O░","https://files.catbox.moe/zogtui.jpg"
"2024/02/13 6:22:34 AM PST","Nekomimi","Thank you for always giving us fun streams Fuyo! Love having fun with you and I'm happy to see you having fun with us! No matter how much time goes by I always feel lucky to have found you and this community of fun people you created! Fufo love <3","https://imgur.com/d3Rpe4M"
"2024/02/13 8:28:19 AM PST","KhanKarma","Fuyo, this short time I've been watching you has been a delight. Your cute fits, your creative sparks, your cleverness and passion; All quite charming. Always feeling lucky to have the chance to appretiate your hard work and attaining sleep to your ASMR. Truly like moonlight in the darkest hour. I hope that the happiness you have given is somewhat conveyed and shared in silly things like this. But you know, as it's been said: ""Todas as palavras esdrúxulas, Como os sentimentos esdrúxulos, São naturalmente... Ridículas.""","https://files.catbox.moe/zr5bae.png"
"2024/02/13 9:48:25 AM PST","McGrizzle","I can't draw, so have a silly poem instead: 

Clovers are green
Violets are flowers
Please keep us well-watered
With Fuyonade showers

But seriously, thanks so much for all that you do for us, you truly make the world brighter just by being you.  Happy Valentine's Day, Fuyo!",""
"2024/02/13 10:17:32 AM PST","Seika","fuyo cute","https://imgur.com/k7sVpFz"
"2024/02/13 10:46:02 AM PST","Floran","Floran is plant,I love plants but you are my favorite green thing. ","https://www.dropbox.com/scl/fi/mqo4fuil95jn63klwsgai/smile-weird.png?rlkey=7plqvxql37sz3fmzmewr3wavn&dl=0"
"2024/02/13 10:55:14 AM PST","iSneeze","FUYOYOYO!

Hiiii! I wanted to tell you that you're my favorite green fricker! 💚 I admire your dedication and plethora of talents! You prove your creativity time and time again and your streams are super fun and cozy. I'm excited for what you bring us in the future. Thank you for all you do. 

Rock on, Fuuy! Happy Valentines Day! Have a smooch... MWAH! ","No time ToT"
"2024/02/13 10:58:00 AM PST","Nova Dysnomia","Thank you so much for everything you do for us! I genuinely appreciate your hard work, dedication, and love for your community! Happy Valentine's Day Fuyo! Green thing love!","https://files.catbox.moe/urvpov.jpg"
"2024/02/13 11:45:06 AM PST","Colson M","Happy Valentines Day Fuyo! Thank you for the lovely time you have spent with us Fuyo!💚 Love you 💚",""
"2024/02/13 11:47:53 AM PST","Delicious Sandwich","I'm hungie, i wan food, gib food pls? chocolat? me eats. banana, me most certainly eats, but Fuyo sandwich? NOMNOMNOMNOMNOMNOMNOMNOM","https://imgur.com/a/YDbM3t2"
"2024/02/13 11:47:53 AM PST","","Happy valentine's day! 
although distance is constant amongst all, the rainbow shines over all, calling for the yellow glow, in the end of it. it's name is fuyo",""
